time,temperature,density,fusion_power,E_field,control_signal
1.45,1.1153264926410373,1.1397515283449805e+19,2.414537992734978e-05,0.0,24.56080659193053
1.46,1.1108740973974955,1.1407059191959024e+19,2.4137510640494308e-05,0.0,24.621781374697505
1.47,1.1064394761632108,1.1416602718719537e+19,2.412960852260419e-05,0.0,24.682712346014718
1.48,1.1020225579841485,1.1426145863746615e+19,2.412167366815278e-05,0.0,24.743599680777972
1.49,1.0976232721895238,1.1435688627055526e+19,2.411370617151146e-05,0.0,24.80444355318482
1.5,1.0932415483906701,1.1445231008661539e+19,2.410570612694929e-05,0.0,24.865244136737477
1.51,1.088877316479913,1.1454773008579922e+19,2.409767362863281e-05,0.0,24.926001604245492
1.52,1.0845305066294488,1.146431462682594e+19,2.4089608770625706e-05,0.0,24.986716127828593
1.53,1.0802010492902274,1.1473855863414864e+19,2.4081511646888572e-05,0.0,25.047387878919363
1.54,1.0758888751908389,1.1483396718361956e+19,2.4073382351278644e-05,0.0,25.108017028266076
1.55,1.0715939153364056,1.1492937191682484e+19,2.406522097754952e-05,0.0,25.16860374593532
1.56,1.0673161010074783,1.1502477283391711e+19,2.4057027619350902e-05,0.0,25.22914820131483
1.57,1.0630553637589364,1.1512016993504901e+19,2.4048802370228362e-05,0.0,25.289650563116098
1.58,1.0588116354188932,1.1521556322037318e+19,2.404054532362303e-05,0.0,25.350110999377133
1.59,1.0545848480876046,1.1531095269004225e+19,2.4032256572871394e-05,0.0,25.41052967746515
1.6,1.050374934136383,1.1540633834420883e+19,2.402393621120501e-05,0.0,25.470906764079228
1.61,1.0461818262065157,1.1550172018302558e+19,2.401558433175027e-05,0.0,25.531242425252962
1.62,1.042005457208186,1.1559709820664506e+19,2.4007201027528105e-05,0.0,25.591536826357142
1.6300000000000001,1.0378457603194011,1.1569247241521992e+19,2.3998786391453837e-05,0.0,25.65179013210243
1.6400000000000001,1.033702668984922,1.1578784280890272e+19,2.3990340516336803e-05,0.0,25.712002506541914
1.6500000000000001,1.029576116915199,1.1588320938784606e+19,2.3981863494880226e-05,0.0,25.77217411307382
1.6600000000000001,1.0254660380853107,1.1597857215220255e+19,2.3973355419680895e-05,0.0,25.832305114444054
1.67,1.0213723667339083,1.1607393110212475e+19,2.3964816383228963e-05,0.0,25.892395672748872
1.68,1.017295037362163,1.1616928623776524e+19,2.395624647790771e-05,0.0,25.95244594943741
1.69,1.0132339847327176,1.1626463755927658e+19,2.3947645795993284e-05,0.0,26.01245610531431
1.7,1.0091891438686436,1.1635998506681135e+19,2.393901442965448e-05,0.0,26.072426300542283
